,year,month,date,date_in_Fraction,daily total sunspot number,daily std dev,number of stations,definitive/provisional marker
428,1998,3,5,1998.174,48,3.8,16,0
429,1998,3,6,1998.177,43,4.1,18,0
430,1998,3,7,1998.179,54,4.7,21,0
431,1998,3,8,1998.182,49,5.2,19,0
432,1998,3,9,1998.185,52,2.9,23,0
433,1998,3,10,1998.188,75,4.7,23,0
434,1998,3,11,1998.19,84,4.1,17,0
435,1998,3,12,1998.193,108,5.8,17,0
436,1998,3,13,1998.196,111,6.0,16,0
437,1998,3,14,1998.199,118,6.1,15,0
438,1998,3,15,1998.201,94,4.1,13,0
439,1998,3,16,1998.204,90,3.9,12,0
440,1998,3,17,1998.207,88,4.3,15,0
441,1998,3,18,1998.21,96,9.5,16,0
442,1998,3,19,1998.212,100,5.4,27,0
443,1998,3,20,1998.215,93,6.7,17,0
444,1998,3,21,1998.218,103,6.6,21,0
445,1998,3,22,1998.221,108,6.5,15,0
446,1998,3,23,1998.223,82,5.5,19,0
447,1998,3,24,1998.226,88,7.2,22,0
448,1998,3,25,1998.229,88,6.0,20,0
449,1998,3,26,1998.232,78,6.6,20,0
450,1998,3,27,1998.234,76,7.5,12,0
451,1998,3,28,1998.237,84,9.2,21,0
452,1998,3,29,1998.24,87,5.6,22,0
453,1998,3,30,1998.242,69,4.4,20,0
454,1998,3,31,1998.245,82,5.1,24,0
455,1998,4,1,1998.248,74,5.6,15,0
456,1998,4,2,1998.251,78,3.6,19,0
457,1998,4,3,1998.253,75,5.8,17,0
458,1998,4,4,1998.256,67,6.3,19,0
459,1998,4,5,1998.259,78,4.3,23,0
460,1998,4,6,1998.262,83,4.1,17,0
461,1998,4,7,1998.264,123,6.9,15,0
462,1998,4,8,1998.267,140,7.5,22,0
463,1998,4,9,1998.27,161,11.9,16,0
464,1998,4,10,1998.273,143,12.4,17,0
465,1998,4,11,1998.275,127,11.2,20,0
466,1998,4,12,1998.278,106,12.7,21,0
467,1998,4,13,1998.281,85,7.6,14,0
468,1998,4,14,1998.284,93,10.3,17,0
469,1998,4,15,1998.286,86,5.9,17,0
470,1998,4,16,1998.289,81,11.5,19,0
471,1998,4,17,1998.292,61,8.4,14,0
472,1998,4,18,1998.295,30,5.0,13,0
473,1998,4,19,1998.297,41,3.9,18,0
474,1998,4,20,1998.3,40,3.2,15,0
475,1998,4,21,1998.303,45,6.4,18,0
476,1998,4,22,1998.305,42,5.1,24,0
477,1998,4,23,1998.308,34,4.8,20,0
478,1998,4,24,1998.311,19,3.7,16,0
479,1998,4,25,1998.314,26,5.5,18,0
480,1998,4,26,1998.316,17,1.9,13,0
481,1998,4,27,1998.319,16,1.6,17,0
482,1998,4,28,1998.322,37,4.8,23,0
483,1998,4,29,1998.325,48,6.7,24,0
484,1998,4,30,1998.327,61,6.4,16,0
